DATE,COMPOUT
2/9/2005,1443.190089
2/16/2005,1442.909294
2/23/2005,1443.390344
3/2/2005,1442.185697
3/9/2005,1435.864506
3/16/2005,1447.525252
3/23/2005,1453.678968
3/30/2005,1435.805533
4/6/2005,1446.3657
4/13/2005,1454.020696
4/20/2005,1460.665721
4/27/2005,1453.780454
5/4/2005,1456.68289
5/11/2005,1469.076371
5/18/2005,1479.203206
5/25/2005,1483.770239
6/1/2005,1487.479381
6/8/2005,1492.512587
6/15/2005,1501.16491
6/22/2005,1525.970556
6/29/2005,1520.374956
7/6/2005,1504.842309
7/13/2005,1513.718742
7/20/2005,1510.611524
7/27/2005,1519.850458
8/3/2005,1541.128441
8/10/2005,1550.177444
8/17/2005,1560.126513
8/24/2005,1568.507637
8/31/2005,1579.210943
9/7/2005,1590.427557
9/14/2005,1600.774026
9/21/2005,1609.76913
9/28/2005,1618.615483
10/5/2005,1624.170057
10/12/2005,1624.984396
10/19/2005,1627.12478
10/26/2005,1626.51726
11/2/2005,1633.113291
11/9/2005,1650.308136
11/16/2005,1649.227096
11/23/2005,1641.326911
11/30/2005,1646.338943
12/7/2005,1642.9986
12/14/2005,1631.043782
12/21/2005,1633.912469
12/28/2005,1637.475716
1/4/2006,1648.849232
1/11/2006,1691.531711
1/18/2006,1684.205516
1/25/2006,1694.308279
2/1/2006,1703.255269
2/8/2006,1696.384287
2/15/2006,1681.136806
2/22/2006,1690.548079
3/1/2006,1700.57978
3/8/2006,1696.625813
3/15/2006,1712.736038
3/22/2006,1709.790273
3/29/2006,1712.656832
4/5/2006,1682.626979
4/12/2006,1683.847571
4/19/2006,1694.674396
4/26/2006,1728.229584
5/3/2006,1764.953065
5/10/2006,1762.418987
5/17/2006,1766.110221
5/24/2006,1763.892715
5/31/2006,1785.801446
6/7/2006,1795.97263
6/14/2006,1774.09139
6/21/2006,1772.543713
6/28/2006,1782.768449
7/5/2006,1781.529913
7/12/2006,1785.731278
7/19/2006,1783.123649
7/26/2006,1792.1301
8/2/2006,1789.062407
8/9/2006,1793.985045
8/16/2006,1808.944869
8/23/2006,1836.465766
8/30/2006,1843.081847
9/6/2006,1858.431719
9/13/2006,1857.908928
9/20/2006,1878.889756
9/27/2006,1896.577184
10/4/2006,1903.870694
10/11/2006,1910.864602
10/18/2006,1890.401906
10/25/2006,1901.398859
11/1/2006,1900.770673
11/8/2006,1901.787723
11/15/2006,1926.943924
11/22/2006,1920.611937
11/29/2006,1927.810852
12/6/2006,1930.290003
12/13/2006,1963.271488
12/20/2006,1951.023391
12/27/2006,1974.710499
1/3/2007,1988.765721
1/10/2007,1989.990284
1/17/2007,1995.143947
1/24/2007,1993.777339
1/31/2007,1990.410932
2/7/2007,2010.098503
2/14/2007,2039.053086
2/21/2007,2015.733713
2/28/2007,2011.478578
3/7/2007,1991.630357
3/14/2007,1993.832657
3/21/2007,1996.352843
3/28/2007,2052.783303
4/4/2007,2040.233119
4/11/2007,2050.846918
4/18/2007,2035.570902
4/25/2007,2045.042346
5/2/2007,2047.001147
5/9/2007,2080.105174
5/16/2007,2086.932946
5/23/2007,2087.778562
5/30/2007,2110.231134
6/6/2007,2115.452936
6/13/2007,2117.469666
6/20/2007,2134.10402
6/27/2007,2144.108422
7/4/2007,2170.909891
7/11/2007,2179.984756
7/18/2007,2195.414132
7/25/2007,2222.825434
8/1/2007,2213.304603
8/8/2007,2222.537167
8/15/2007,2134.133804
8/22/2007,2041.595347
8/29/2007,1978.671981
9/5/2007,1922.634809
9/12/2007,1914.170865
9/19/2007,1866.53737
9/26/2007,1855.686706
10/3/2007,1859.458689
10/10/2007,1860.867091
10/17/2007,1865.535524
10/24/2007,1872.763204
10/31/2007,1880.808722
11/7/2007,1864.255838
11/14/2007,1862.909283
11/21/2007,1843.202148
11/28/2007,1856.724713
12/5/2007,1848.54827
12/12/2007,1836.590412
12/19/2007,1781.882236
12/26/2007,1785.858323
1/2/2008,1795.402342
1/9/2008,1812.751317
1/16/2008,1848.467318
1/23/2008,1845.34073
1/30/2008,1857.337158
2/6/2008,1844.468997
2/13/2008,1832.039284
2/20/2008,1813.309857
2/27/2008,1840.443491
3/5/2008,1861.678017
